search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4486258,4486258, The Phantasm of Principle ,"Kentucky Law Journal, Vol. 111, 2023",43,Posted: 26 Jun 2023,Last Revised: 17 Jul 2023,Wilfred U. Codrington III ,Brooklyn Law School,38,"Keywords: Election Law, Constitutional Law, Constitutional Theory, Redistricting, Gerrymandering, Race,  ..."
search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'felon disenfranchisement',,,,,,,,,,,
search term,SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,Affiliations,SSRN Downloads,Keywords
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4486258,4486258, The Phantasm of Principle ,"Kentucky Law Journal, Vol. 111, 2023",43,Posted: 26 Jun 2023,Last Revised: 17 Jul 2023,Wilfred U. Codrington III ,Brooklyn Law School,38,"Keywords: Election Law, Constitutional Law, Constitutional Theory, Redistricting, Gerrymandering, Race,  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4494650,4494650, Can You Be a Legal Ethics Scholar and Have Guts? ,"Georgetown Journal of Legal Ethics, Vol. 35, No. 3, 2022, Brooklyn Law School, Legal Studies Paper No. 745",34,Posted: 30 Jun 2023,None,"Cynthia Godsoe , Abbe Smith and Ellen Yaroshefsky ","Brooklyn Law School, Georgetown University Law Center and Hofstra University - Maurice A. Deane School of Law",29,"Keywords: ethics, model rules of professional conduct, lawyer discipline, prosecutorial misconduct, legal  ..."
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4503606,4503606, Associational Party-Building: A Path to Rebuilding Democracy ,"Drexel University Thomas R. Kline School of Law Research Paper Series, Columbia Law Review, Vol. 122, No. 7, 2022",50,Posted: 11 Jul 2023,None,Tabatha Abu El-Haj and Didi Kuo ,"Drexel University Thomas R. Kline School of LawThomas R. Kline School of Law, Drexel University and Harvard University",18,"Keywords: political parties, primaries, election law, 2020 election"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4513285,4513285, Travel Bans: Mormons and Muslims ,William & Mary Law School Research Paper No. 09-472,16,Posted: 19 Jul 2023,None,Nathan B. Oman ,William & Mary Law School,12,"Keywords: Islam, Mormon, Muslim, Latter-day Saint, immigration, Trump, polygamy, travel ban"
'election law',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4503696,4503696, The Presidential Form of Government in Argentina and Chile ,none listed,10,Posted: 17 Jul 2023,None,Francesco Duranti ,Università per Stranieri di Perugia - University for Foreigners of Perugia (Italy),6,"Keywords: Comparative Constitutional Law, Comparative Constitutionalism in Latin America, Presidentialism,  ..."
